,HSIC_cl,HSIC_cat,HSIC_mean
1,0.014172185,0.133436257,0.028212763
2,0.012611792,0.018200885,0.045342104
3,0.054558875,0.178234536,0.015267252
4,0.183117758,0.375571877,0.212619325
5,0.000776536,0.009861892,0.186855771
6,0.012824612,0.063964127,0.209767307
7,0.006527597,0.05907244,0.044517091
8,0.438768349,0.792377544,0.857547412
9,0.037265132,0.0548977,0.07542854
10,0.218710408,0.450525558,0.252311157
11,0.182978015,0.167251841,0.188310698
12,0.043681099,0.242871405,0.34826255
13,0.087340675,0.021974162,0.203922521
14,0.010903452,0.021298351,0.045115457
15,0.015469605,0.005092874,0.00648243
16,0.284822252,0.152701353,0.591679405
17,0.169715577,0.51478571,0.211240696
18,0.02057863,0.056878996,0.051157315
19,0.026662585,0.109582201,0.154254891
20,0.103921457,0.280306734,0.055185593
21,0.036259388,0.047591469,0.022661285
22,0.259548761,0.22327665,0.642888568
23,0.017803804,0.206222005,0.320699841
24,0.023542283,0.261328428,0.13237183
25,0.0141671,0.023319605,0.067056831
26,0.004182037,0.014352195,0.035838833
27,0.126995016,0.491152622,0.1201231
28,0.007535733,0.139655702,0.14997476
29,0.075049519,0.21921112,0.040170126
30,0.00708826,0.049386736,0.005225302
31,0.029306004,0.144966957,0.092104482
32,0.003515458,0.026050818,0.008259735
33,0.04734083,0.287852804,0.036093342
34,0.03520585,0.138762996,0.420859474
35,0.000361246,0.015595352,0.039089871
36,9.16E-05,0.006732251,0.02208701
37,0.213482091,0.600003574,0.440844656
38,0.584988183,0.846103022,0.621958903
39,0.022122727,0.113516704,0.042889338
40,0.081674359,0.160323411,0.140385128
41,0.002417678,0.003853654,0.048078841
42,0.183445209,0.451414207,0.964457283
43,0.326911416,0.244184541,0.113774523
44,0.008566673,0.015510679,0.07711624
45,0.000234988,0.001699482,0.002158654
46,0.056986421,0.392911622,0.439369991
47,0.012919841,0.070652148,0.085130702
48,0.010703869,0.579667435,0.081673208
49,0.000480341,0.01913734,0.002661032
50,0.001959679,0.227766805,0.121862309
