,HSIC_cl,HSIC_cat,HSIC_mean
1,0.00122026,0.035869039,0.00864953
2,0.004498607,0.020374366,0.05333977
3,0.003826508,0.056057575,0.054939298
4,0,0.000190154,0.001099495
5,0.001987093,0.174097521,0.052426391
6,0.013699696,0.035433388,0.034757406
7,0.004844855,0.009575026,0.009701759
8,1.58E-05,0.004023659,0.004528345
9,9.12E-05,0.004725651,0.011223728
10,0.361623548,0.549037744,0.369787066
11,6.07E-05,0.011235708,0.008859213
12,0.001450732,0.002012611,0.001208986
13,0.000188746,0.005789109,0.004261383
14,0.011147314,0.186564054,0.052402863
15,0.001772215,0.008866702,0.057236866
16,0.002178135,0.033085503,0.049384456
17,0.080243498,0.359913007,0.418055379
18,0.106848507,0.476780779,0.776255443
19,4.88E-05,0.003974142,0.004985766
20,9.66E-05,0.008576198,0.047076706
21,0.092562202,0.059398699,0.054015482
22,0.000296486,0.026465976,0.017513503
23,5.39E-05,0.001606551,0.004095301
24,0.002979066,0.119130554,0.052882756
25,0.004262914,0.100808597,0.151071019
26,0.001963171,0.065429552,0.030475139
27,0.005381781,0.120618027,0.064004237
28,0.036108303,0.292235531,0.132548329
29,0.000148729,0.023045846,0.028871169
30,0.008423217,0.047647853,0.041036168
31,0.016497743,0.15010698,0.125060284
32,0.010415614,0.091388067,0.023081254
33,0.001281954,0.09418009,0.178222093
34,0.015462952,0.066982815,0.150397294
35,0.00156085,0.001717652,0.005755377
36,0.003788947,0.021114447,0.03987943
37,4.42E-05,0.009589344,0.014254492
38,0.04227647,0.091517323,0.041699187
39,0.043304347,0.4509515,0.532015224
40,1.81E-05,0.008921097,0.026404667
41,0.003192276,0.02728323,0.042954968
42,0.00031879,0.008915469,0.016570846
43,0.013081395,0.166159847,0.283040339
44,0.000796693,0.081672582,0.075711239
45,0.001815621,0.046188991,0.001975188
46,0.004241449,0.088505542,0.075798247
47,8.05E-05,0.001596773,0.006061466
48,0.000520313,0.009980093,0.003519391
49,0.035410534,0.134243134,0.21078377
50,0.001025645,0.006009123,0.05752954
