,HSIC_cl,HSIC_cat,HSIC_mean
1,0.057538198,0.292523131,0.158198489
2,0.024493869,0.065158895,0.114710443
3,0.007007419,0.027994322,0.011757628
4,0.171250967,0.449876955,0.446523787
5,0.003287257,0.016801877,0.118246436
6,0.026859015,0.088370489,0.219515171
7,0.024909801,0.069177551,0.063353069
8,0.319387494,0.751149169,0.363555063
9,0.077922848,0.050491051,0.069299642
10,0.074782455,0.155618174,0.109320165
11,0.26537515,0.565255349,0.561030138
12,0.00856534,0.041621716,0.060609134
13,0.150132103,0.225337011,0.68531368
14,0.010949867,0.052008999,0.061161234
15,0.027112459,0.008962242,0.015747729
16,0.172627663,0.186300931,0.357170732
17,0.099158543,0.307627805,0.232594711
18,0.02557294,0.102959169,0.075320282
19,0.007145049,0.112859716,0.06798262
20,0.090895848,0.316476806,0.133120866
21,0.065101606,0.036370084,0.034434126
22,0.097992602,0.215141095,0.331182705
23,0.037822917,0.148407187,0.217444993
24,0.061983158,0.406559535,0.248531523
25,0.023499084,0.079321448,0.081068243
26,0.013334569,0.011689056,0.013254146
27,0.101060498,0.668057558,0.242824512
28,0.013763142,0.145875842,0.182438267
29,0.104701896,0.597502718,0.278823092
30,0.007352158,0.036766682,0.011040939
31,0.037952535,0.100226546,0.062829499
32,0.002781425,0.038366296,0.053140373
33,0.165513674,0.47917051,0.275545181
34,0.045907341,0.046459041,0.151031888
35,0.016698523,0.036335317,0.111504083
36,0.000988958,0.008771856,0.007822254
37,0.116041813,0.512930084,0.265777845
38,0.42632904,0.782948076,0.414436408
39,0.05343996,0.113442622,0.134845427
40,0.140771001,0.166452112,0.232934818
41,0.010579362,0.022100236,0.089756599
42,0.098938736,0.349290376,0.388681196
43,0.311748741,0.364695846,0.468283443
44,0.038466051,0.190646036,0.19142733
45,0.000369915,0.001412117,0.000695571
46,0.153431653,0.18896164,0.420581498
47,0.020414878,0.083227425,0.070903738
48,0.023012258,0.287898416,0.114059798
49,0.003806774,0.030156654,0.018498534
50,0.009210668,0.180406774,0.076171792
